sensitivity_id,split_seed,system,macro_f1,weighted_f1,accuracy,balanced_accuracy,macro_auc_ovr,recall_no_fall,recall_rare_fall,recall_recurrent_fall
S03_COHORT_1043,10,direct,0.5587132818564366,0.6721154631820767,0.657051282051282,0.6102345611141653,0.7928514554430516,0.7336448598130841,0.39705882352941174,0.7
S03_COHORT_1043,10,two_stage,0.532505396508186,0.6641574777350808,0.657051282051282,0.5930334127420438,0.8129772986019859,0.7663551401869159,0.27941176470588236,0.7333333333333333
S03_COHORT_1043,11,direct,0.46758868233167555,0.624128523667134,0.6057692307692307,0.4802241768981736,0.7301016472793113,0.7102803738317757,0.39705882352941174,0.3333333333333333
S03_COHORT_1043,11,two_stage,0.5192113177724689,0.6497156141594437,0.6378205128205128,0.5526418667155336,0.7561835003762937,0.7383177570093458,0.35294117647058826,0.5666666666666667
S03_COHORT_1043,12,direct,0.4942677515798981,0.6366594742301717,0.6153846153846154,0.5355292895974589,0.7321890054117463,0.705607476635514,0.36764705882352944,0.5333333333333333
S03_COHORT_1043,12,two_stage,0.5561284305888622,0.6786716780421816,0.6730769230769231,0.5798088082585059,0.7390143168361795,0.7757009345794392,0.39705882352941174,0.5666666666666667
S03_COHORT_1043,13,direct,0.4968964564942053,0.6312743523082636,0.6185897435897436,0.5175004581271762,0.7590058954752333,0.7289719626168224,0.3235294117647059,0.5
S03_COHORT_1043,13,two_stage,0.4982027757959375,0.6337705372593002,0.625,0.5330340235782787,0.7547381104364962,0.7383177570093458,0.29411764705882354,0.5666666666666667
S03_COHORT_1043,14,direct,0.5351068067796395,0.674332688831239,0.6634615384615384,0.5565084600818521,0.7579984313839004,0.7616822429906542,0.4411764705882353,0.4666666666666667
S03_COHORT_1043,14,two_stage,0.5404971932638332,0.6876489900547639,0.6923076923076923,0.5380428807036833,0.7447047222331117,0.8317757009345794,0.38235294117647056,0.4
S03_COHORT_1043,15,direct,0.5922094268072072,0.679775804250693,0.6634615384615384,0.6558670820353063,0.7854993031577613,0.7009345794392523,0.5,0.7666666666666667
S03_COHORT_1043,15,two_stage,0.5354690365354775,0.6635306596351879,0.6474358974358975,0.5802455561663917,0.7550898078224336,0.7289719626168224,0.4117647058823529,0.6
S03_COHORT_1043,16,direct,0.5509480743077438,0.6497463560197924,0.6346153846153846,0.5931219839960905,0.7727334897730601,0.7009345794392523,0.4117647058823529,0.6666666666666666
S03_COHORT_1043,16,two_stage,0.5009102120531016,0.6137494512016256,0.5993589743589743,0.5716846863355934,0.7448925882416949,0.6728971962616822,0.3088235294117647,0.7333333333333333
S03_COHORT_1043,17,direct,0.4679647837542575,0.5921491351653295,0.5705128205128205,0.4974803005314275,0.7318802356586248,0.6542056074766355,0.3382352941176471,0.5
S03_COHORT_1043,17,two_stage,0.49556645970482843,0.6301340630308234,0.6185897435897436,0.48979903487874893,0.7092130780570226,0.7242990654205608,0.4117647058823529,0.3333333333333333
S03_COHORT_1043,18,direct,0.5137810238172363,0.6096578811209407,0.5833333333333334,0.5806181662696231,0.7545968442702823,0.6261682242990654,0.38235294117647056,0.7333333333333333
S03_COHORT_1043,18,two_stage,0.5120507813158756,0.6306623639744484,0.6153846153846154,0.576128519943803,0.7620343031035889,0.7009345794392523,0.29411764705882354,0.7333333333333333
S03_COHORT_1043,19,direct,0.5544563168768578,0.6844643546656509,0.6987179487179487,0.5779335410176532,0.7922254463324396,0.8504672897196262,0.25,0.6333333333333333
S03_COHORT_1043,19,two_stage,0.5310124419895794,0.6560766394582556,0.6538461538461539,0.5943406022845275,0.8003581163975474,0.7663551401869159,0.25,0.7666666666666667
S04_REVISION_PREPROCESSING,0,direct,0.541331684188827,0.6642534053248339,0.6442307692307693,0.5949300592511148,0.7523533625714962,0.7102803738317757,0.4411764705882353,0.6333333333333333
S04_REVISION_PREPROCESSING,0,two_stage,0.5193860902545834,0.6458715373788042,0.625,0.5416407061266874,0.7550836512340554,0.6915887850467289,0.5,0.43333333333333335
S04_REVISION_PREPROCESSING,1,direct,0.5416399286987522,0.6610198135198135,0.6474358974358975,0.5988730071467839,0.763929160147757,0.7289719626168224,0.36764705882352944,0.7
S04_REVISION_PREPROCESSING,1,two_stage,0.5095832924853935,0.6577913238488075,0.657051282051282,0.5419216907946979,0.7678196033957113,0.794392523364486,0.2647058823529412,0.5666666666666667
S04_REVISION_PREPROCESSING,2,direct,0.49441959363867055,0.6370099392221079,0.6217948717948718,0.5252672408527274,0.7468350117830344,0.7336448598130841,0.3088235294117647,0.5333333333333333
S04_REVISION_PREPROCESSING,2,two_stage,0.5315601848723054,0.6724676790248706,0.6602564102564102,0.5578156496243357,0.7398712856571944,0.7616822429906542,0.4117647058823529,0.5
S04_REVISION_PREPROCESSING,3,direct,0.5343058471092451,0.670144758509443,0.6602564102564102,0.545397348970741,0.7342260532071068,0.7616822429906542,0.4411764705882353,0.43333333333333335
S04_REVISION_PREPROCESSING,3,two_stage,0.5185265262403448,0.6685635078647614,0.6698717948717948,0.5142416468144891,0.6845880552541127,0.8084112149532711,0.36764705882352944,0.36666666666666664
